sidechain_smiles,monomer_smiles,linkage,source,compound_type,molecular_weight,delta_D,delta_P,delta_H,n_unmatched_atoms,has_si,n_si_atoms,used_2nd_order,approx_ring_correction,hsp_error,delta_D_corr,delta_P_corr,delta_H_corr,Ra_Water,RED_Water,Ra_Diiodomethane,RED_Diiodomethane,Ra_n_Hexadecane,RED_n_Hexadecane,Ra_PTFE,RED_PTFE
N=c1ccc(=Nc2ccc(N)c3c(O)c4ccccc4c(O)c23)c2c(=O)c3ccccc3c(=O)c1=2,N=c1ccc(=Nc2ccc(N)c3c(O)c4ccccc4c(OC(=O)[C@@H]4[C@H](C(=O)Oc5c6ccccc6c(O)c6c(N)ccc(N=c7ccc(=N)c8c(=O)c9ccccc9c(=O)c7=8)c56)[C@@H]5C=C[C@@H]4C5)c23)c2c(=O)c3ccccc3c(=O)c1=2,ester,Sigma-Aldrich,"diol,monoamine",459.461,34.5742,12.5702,21.1367,8,False,0,True,True,,34.5742,12.5702,21.1367,43.76013274077216,2.4584344236388853,38.01544288167638,5.430777554525197,44.051737281178816,8.810347456235764,50.186577064888574,7.1695110092697965
Nc1ccc(-c2cc(-c3ccc(N)cc3)c(O)c(-c3ccc(N)cc3)c2)cc1,Nc1ccc(-c2cc(-c3ccc(N)cc3)c(OC(=O)[C@@H]3[C@H](C(=O)Oc4c(-c5ccc(N)cc5)cc(-c5ccc(N)cc5)cc4-c4ccc(N)cc4)[C@@H]4C=C[C@@H]3C4)c(-c3ccc(N)cc3)c2)cc1,ester,Ambeed,monoalcohol,367.452,34.5112,18.6884,21.4509,0,False,0,True,True,,34.5112,18.6884,21.4509,43.44669569863743,2.440825601047046,39.87712134959092,5.696731621370132,46.21675699494719,9.243351398989438,52.079853946895824,7.439979135270832
c1ccc(-c2ccccc2Nc2ccc3c(c2)-c2ccccc2C32c3ccccc3-c3ccccc32)cc1,O=C([C@@H]1[C@H](C(=O)N(c2ccc3c(c2)-c2ccccc2C32c3ccccc3-c3ccccc32)c2ccccc2-c2ccccc2)[C@@H]2C=C[C@@H]1C2)N(c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccccc21)c1ccccc1-c1ccccc1,amide,Ambeed,monoamine,483.614,34.4514,6.8168,5.4414,0,False,0,True,True,,34.4514,6.8168,5.4414,53.6610641344355,3.0146665244064885,33.43034017236438,4.77576288176634,37.33591948834259,7.467183897668518,44.368583525282844,6.338369075040406
Oc1ccccc1C1=Nn2c(CCN3c4ccccc4Sc4ccccc43)nnc2SC1,O=C(Oc1ccccc1C1=Nn2c(CCN3c4ccccc4Sc4ccccc43)nnc2SC1)[C@@H]1[C@H](C(=O)Oc2ccccc2C2=Nn3c(CCN4c5ccccc5Sc5ccccc54)nnc3SC2)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,"monoalcohol,monoamine",457.584,34.4427,12.2194,1.7254,6,False,0,True,True,,34.4427,12.2194,1.7254,55.64076414536379,3.125885626144033,34.51634213934032,4.93090601990576,38.32650511956445,7.665301023912891,45.20255252394493,6.457507503420705
Nc1cc(C2(c3ccc(O)c(N)c3)c3ccccc3-c3ccccc32)ccc1O,Nc1cc(C2(c3ccc(OC(=O)[C@@H]4[C@H](C(=O)Oc5ccc(C6(c7ccc(O)c(N)c7)c7ccccc7-c7ccccc76)cc5N)[C@@H]5C=C[C@@H]4C5)c(N)c3)c3ccccc3-c3ccccc32)ccc1O,ester,Ambeed,diol,380.447,34.4074,14.3306,27.5579,0,False,0,True,True,,34.4074,14.3306,27.5579,40.6211214494381,2.2820854746875336,41.2137271768764,5.887675310982343,47.71075023314977,9.542150046629953,53.3821019425987,7.626014563228386
O=c1c2c(-c3ccc(Cl)cc3)csc2nc2c3ccccc3c(N3CCN(CCO)CC3)nn12,O=C(OCCN1CCN(c2nn3c(=O)c4c(-c5ccc(Cl)cc5)csc4nc3c3ccccc23)CC1)[C@@H]1[C@H](C(=O)OCCN2CCN(c3nn4c(=O)c5c(-c6ccc(Cl)cc6)csc5nc4c4ccccc34)CC2)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,492.004,34.2595,3.4486,-0.5466,10,False,0,True,True,,34.2595,3.4486,-0.5466,58.318471640810344,3.276318631506199,33.47276048550523,4.781822926500747,36.08831077398886,7.217662154797772,43.26014071313223,6.180020101876033
Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,Cc1ccccc1-n1c(Cn2nc(-c3cccc(OC(=O)[C@@H]4[C@H](C(=O)Oc5cccc(-c6nn(Cc7nc8cccc(C)c8c(=O)n7-c7ccccc7C)c7ncnc(N)c67)c5)[C@@H]5C=C[C@@H]4C5)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,ester,Sigma-Aldrich,"monoalcohol,monoamine",489.539,33.956,1.234,1.3138,14,False,0,True,True,,33.956,1.234,1.3138,57.099904469622366,3.2078598016641777,32.690934071084605,4.670133438726372,35.35797180891461,7.071594361782923,42.55019354174551,6.078599077392215
OCCOc1ccc2c(c1)Sc1cc(OCCO)ccc1C21c2ccccc2-c2ccccc21,O=C(OCCOc1ccc2c(c1)Sc1cc(OCCO)ccc1C21c2ccccc2-c2ccccc21)[C@@H]1[C@H](C(=O)OCCOc2ccc3c(c2)Sc2cc(OCCO)ccc2C32c3ccccc3-c3ccccc32)[C@@H]2C=C[C@@H]1C2,ester,Ambeed,diol,468.574,33.8831,39.928,10.0243,0,False,0,True,True,,33.8831,39.928,10.0243,54.46121057165365,3.059618571441216,48.50928258519187,6.929897512170267,54.142343844074574,10.828468768814915,59.07306219360902,8.439008884801288
N=c1ccc(=Nc2ccc(N)c3c(O)c4ccccc4c(O)c23)c2c(=O)c3ccccc3c(=O)c1=2,N=c1ccc(=Nc2ccc(NC(=O)[C@@H]3[C@H](C(=O)Nc4ccc(N=c5ccc(=N)c6c(=O)c7ccccc7c(=O)c5=6)c5c(O)c6ccccc6c(O)c45)[C@@H]4C=C[C@@H]3C4)c3c(O)c4ccccc4c(O)c23)c2c(=O)c3ccccc3c(=O)c1=2,amide,Sigma-Aldrich,"diol,monoamine",459.461,33.871,7.2146,31.5559,8,False,0,True,True,,33.871,7.2146,31.5559,39.2758641148734,2.2065092199367076,41.50909131708378,5.929870188154825,47.77850397375372,9.555700794750745,53.29793844014983,7.613991205735689
c1ccc(-c2ccc(Nc3ccc4c(c3)C(c3ccccc3)(c3ccccc3)c3ccccc3-4)cc2)cc1,O=C([C@@H]1[C@H](C(=O)N(c2ccc(-c3ccccc3)cc2)c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2ccccc2-3)[C@@H]2C=C[C@@H]1C2)N(c1ccc(-c2ccccc2)cc1)c1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1ccccc1-2,amide,Ambeed,monoamine,485.63,33.7023,-4.409,6.6786,0,False,0,True,True,,33.7023,-4.409,6.6786,54.869903591313154,3.0825788534445593,32.89317801794166,4.6990254311345225,35.712787067379665,7.142557413475933,42.76013798060058,6.108591140085798
Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O,O=C(Nc1cc2oc3cc(=O)c(-c4ccc(O)cc4O)cc-3nc2cc1-c1ccc(O)cc1O)[C@@H]1[C@H](C(=O)Nc2cc3oc4cc(=O)c(-c5ccc(O)cc5O)cc-4nc3cc2-c2ccc(O)cc2O)[C@@H]2C=C[C@@H]1C2,amide,Sigma-Aldrich,monoamine,428.4,33.6862,3.163,60.8223,6,False,0,True,True,,33.6862,3.163,60.8223,42.78803159821681,2.403821999899821,63.80113986481746,9.11444855211678,70.13185116657053,14.026370233314106,73.96647286473784,10.566638980676833
O=c1c2c(-c3ccccc3)csc2nc2c3ccccc3c(N3CCN(CCO)CC3)nn12,O=C(OCCN1CCN(c2nn3c(=O)c4c(-c5ccccc5)csc4nc3c3ccccc23)CC1)[C@@H]1[C@H](C(=O)OCCN2CCN(c3nn4c(=O)c5c(-c6ccccc6)csc5nc4c4ccccc34)CC2)[C@@H]2C=C[C@@H]1C2,ester,Sigma-Aldrich,monoalcohol,457.559,33.65,6.1488,-1.1608,10,False,0,True,True,,33.65,6.1488,-1.1608,57.47675424099729,3.229031137134679,32.470191839285455,4.638598834183637,35.25968233095698,7.051936466191395,42.36466921952773,6.0520956027896755
Nc1nc(N)c2nc(-c3cccc(O)c3)c(-c3cccc(O)c3)nc2n1,Nc1nc(N)c2nc(-c3cccc(OC(=O)[C@@H]4[C@H](C(=O)Oc5cccc(-c6nc7c(N)nc(N)nc7nc6-c6cccc(O)c6)c5)[C@@H]5C=C[C@@H]4C5)c3)c(-c3cccc(O)c3)nc2n1,ester,Ambeed,diol,346.35,33.6002,3.7052,31.7397,8,False,0,True,True,,33.6002,3.7052,31.7397,39.66296765611469,2.2282566098940837,41.07487167709718,5.867838811013883,47.09909493068842,9.419818986137685,52.6156868556327,7.516526693661815
